"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","playerid"
"Danny Duffy","LAD","0","21","21.0","1","1","0","0","0","18","8","3","24","6","1.14","10.34","2.55","3.48","3.54","","0.2","0.2","3542"
"Steven Okert","MIA","0","38","38.0","2","2","0","1","9","31","15","5","44","15","1.21","10.30","3.54","3.63","3.85","","0.2","0.4","13580"
"Seth Lugo","NYM","0","39","39.0","2","2","0","1","10","35","16","5","41","12","1.21","9.46","2.79","3.55","3.59","","0.2","0.2","12447"
"Rafael Montero","HOU","0","37","37.0","2","2","0","2","7","33","15","4","37","12","1.23","9.08","3.00","3.62","3.70","","0.2","0.2","12760"
"Joe Kelly","CHW","0","36","36.0","2","2","0","0","8","32","14","4","39","16","1.30","9.70","3.88","3.50","3.67","","0.2","0.2","9761"
"Chris Martin","CHC","0","34","34.0","2","2","0","0","7","34","15","4","32","8","1.22","8.43","2.16","3.80","3.68","","0.2","0.2","11847"
"José Leclerc","TEX","0","31","31.0","2","2","0","4","4","25","13","4","36","14","1.27","10.67","4.03","3.72","3.80","","0.2","0.1","14524"
"Josh Fleming","TBR","5","14","35.0","2","2","2","0","0","37","15","4","24","10","1.36","6.26","2.58","3.98","4.05","","0.2","0.2","20418"
"Enyel De Los Santos","CLE","0","29","29.0","1","1","0","0","4","24","12","4","34","12","1.23","10.41","3.58","3.58","3.71","","0.2","0.2","18403"
"Joely Rodríguez","NYM","0","34","34.0","2","2","0","0","7","29","13","3","35","15","1.30","9.41","3.93","3.40","3.64","","0.2","0.3","11487"
"Andrew Chafin","DET","0","40","40.0","2","2","0","2","7","38","17","4","38","14","1.30","8.45","3.14","3.79","3.83","","0.2","0.2","12988"
"Cristopher Sánchez","PHI","2","26","34.0","2","2","1","0","0","32","14","3","31","16","1.40","8.34","4.17","3.82","4.08","","0.2","0.3","20778"
"Caleb Thielbar","MIN","0","32","32.0","2","2","0","0","6","27","13","4","36","12","1.22","10.26","3.34","3.72","3.81","","0.2","0.2","10078"
"José Suarez","LAA","7","13","44.0","2","3","3","0","0","43","22","6","39","18","1.39","7.93","3.72","4.47","4.63","","0.2","0.2","19911"
"A.J. Puk","OAK","0","37","37.0","2","2","0","4","6","33","14","4","39","13","1.22","9.29","3.12","3.40","3.60","","0.2","0.2","19343"
"Matt Bush","TEX","0","35","35.0","2","2","0","1","8","30","14","4","41","13","1.22","10.59","3.32","3.67","3.60","","0.2","0.2","1246"
"Bailey Falter","PHI","3","23","35.0","2","2","1","0","0","35","16","5","33","10","1.26","8.26","2.55","4.17","4.27","","0.2","0.2","20070"
"Matt Strahm","BOS","0","35","35.0","2","2","0","2","7","33","15","5","36","10","1.21","9.20","2.50","3.86","3.75","","0.2","0.2","13799"
"Steven Wilson","SDP","0","34","34.0","2","2","0","0","7","29","15","5","39","14","1.25","10.19","3.70","3.84","3.96","","0.2","0.1","20353"
"Adrian Morejon","SDP","0","29","29.0","2","1","0","0","5","25","11","3","32","11","1.23","9.94","3.36","3.42","3.57","","0.2","0.3","20039"
"Vince Velasquez","CHW","9","20","54.0","3","4","2","0","0","52","28","10","53","21","1.34","8.83","3.52","4.64","4.81","","0.2","0.0","11189"
"Anthony Bender","MIA","0","28","28.0","1","1","0","4","2","25","11","3","30","10","1.24","9.62","3.33","3.47","3.55","","0.2","0.2","19742"
"Pete Fairbanks","TBR","0","22","22.0","1","1","0","2","0","18","9","2","26","9","1.22","10.57","3.60","3.47","3.46","","0.2","0.2","17998"
"Evan Phillips","LAD","0","35","35.0","2","2","0","0","8","31","15","4","39","15","1.30","9.93","3.79","3.87","3.93","","0.2","0.2","17734"
