"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","playerid"
"Deivy Cruz","BAL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.96","4.78","7.44","6.58","6.90","","0.0","0.0","sa3016013"
"Alemao Hernandez","LAD","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.92","4.13","6.30","6.78","6.90","","0.0","0.0","sa3002788"
"Julio Ayola","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","3.88","6.79","6.92","6.91","","0.0","0.0","sa3009612"
"Martin Salazar","CIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.90","4.42","5.90","7.02","6.92","","0.0","0.0","sa3009506"
"Carlos Carreno","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","3.99","6.48","6.98","6.92","","0.0","0.0","sa917564"
"Jean Munoz","SEA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","4.26","6.94","6.92","6.92","","0.0","0.0","sa3016594"
"Luis Vizcaino","MIA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","4.26","7.09","6.85","6.92","","0.0","0.0","sa3011812"
"Kevin Hernandez","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.66","8.26","6.50","6.92","","0.0","0.0","sa3008451"
"Cesar Loaiza","NYM","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","4.35","7.24","6.64","6.93","","0.0","0.0","sa3005892"
"Brayan Mendoza","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.25","7.29","6.83","6.94","","0.0","0.0","sa3015477"
"David Marcano","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","4.18","7.05","6.79","6.94","","0.0","0.0","sa3006377"
"Reibyn Corona","ATL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.22","6.83","7.03","6.94","","0.0","0.0","sa3009521"
"Carlos Mola","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.87","4.50","6.10","6.76","6.94","","0.0","0.0","sa3006411"
"Engels Martinez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","3.90","6.64","6.97","6.94","","0.0","0.0","sa3009497"
"Lisandro Almonte","ARI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.28","7.08","6.97","6.95","","0.0","0.0","sa3015497"
"Kevin Ribon","NYM","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.03","6.84","6.99","6.95","","0.0","0.0","sa3015430"
"Javier Tovar","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","4.33","6.63","7.00","6.95","","0.0","0.0","sa3016944"
"Jose Valdez","ARI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.47","7.14","6.97","6.95","","0.0","0.0","sa3011438"
"Alexis Ramirez","MIA","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.96","4.53","6.85","6.97","6.95","","0.0","0.0","sa3006545"
"Yoscar Pimentel","ARI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","3.97","6.73","6.99","6.95","","0.0","0.0","sa3009599"
"Orlando Barrios","TBR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","4.27","6.87","6.90","6.95","","0.0","0.0","sa3009598"
"Danny Chang","SEA","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.99","4.95","7.88","6.59","6.96","","0.0","0.0","sa3009989"
"Joiner Vicent","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.37","7.16","6.96","6.96","","0.0","0.0","sa3015439"
"Lorenzo Encarnacion","ARI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","4.29","6.81","6.99","6.96","","0.0","0.0","sa3015498"
"Olmandi Diaz","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","3.68","6.34","7.04","6.96","","0.0","0.0","sa3016484"
"Adan Frias","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","4.35","7.05","6.87","6.96","","0.0","0.0","sa3003007"
"Yonathan Matos","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.21","7.56","7.05","6.97","","0.0","0.0","sa3002997"
"Abismael Paulino","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.91","3.65","6.06","6.99","6.97","","0.0","0.0","sa3009231"
"Yonael Dominguez","STL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.92","4.03","6.55","6.84","6.97","","0.0","0.0","sa3009750"
"Enmanuel De La Cruz","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","4.01","6.87","6.97","6.97","","0.0","0.0","sa3010378"
"Daniel Gonzalez","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.01","4.79","7.84","6.78","6.98","","0.0","0.0","sa3009482"
"David Tiburcio","LAD","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.30","7.14","6.97","6.98","","0.0","0.0","sa3016010"
"Henry Gomez","STL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","3.82","6.67","6.98","6.98","","0.0","0.0","sa3009993"
"Ulices Campos","DET","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.17","7.09","7.05","6.98","","0.0","0.0","sa3015997"
"Rosmer Inojosa","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","4.42","6.79","7.05","6.98","","0.0","0.0","sa3003088"
"Jairo Vasquez","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.09","6.95","7.02","6.99","","0.0","0.0","sa3010578"
"Andrew Budier","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.99","4.67","7.31","6.78","6.99","","0.0","0.0","sa3006111"
"Henry Lalane","NYY","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.13","7.40","6.87","6.99","","0.0","0.0","sa3016066"
"Weskendry Espinoza","KCR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","3.93","6.54","7.05","6.99","","0.0","0.0","sa3016046"
"Arielbi Gonzalez","MIL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","4.16","6.68","7.03","6.99","","0.0","0.0","sa3016800"
"Edgardo Ibarra","DET","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","4.40","7.74","6.93","6.99","","0.0","0.0","sa3015348"
"Luis Osorio","BAL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","4.60","7.63","6.97","7.00","","0.0","0.0","sa3015988"
"Tyrone Yulie","NYY","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.91","5.20","6.66","6.91","7.00","","0.0","0.0","sa3010246"
"Abel Brito","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","3.92","6.76","7.06","7.00","","0.0","0.0","sa3015458"
"Jorge Martinez","SFG","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","4.31","6.77","7.05","7.00","","0.0","0.0","sa3016472"
"Yonson Guerrero","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","3.84","7.02","7.01","7.00","","0.0","0.0","sa3006131"
"Darwin Cruz","TOR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.93","4.05","6.40","7.05","7.00","","0.0","0.0","sa3015978"
"Brayan Restituyo","OAK","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.04","4.72","7.88","6.85","7.01","","0.0","0.0","sa3015461"
"Bryan Mena","COL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.31","6.96","7.04","7.01","","0.0","0.0","sa3016613"
"Junior Cerda","ARI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.49","7.08","7.04","7.01","","0.0","0.0","sa3016234"
"Case Williams","COL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.92","4.45","5.40","7.59","7.02","","0.0","0.0","sa3015013"
"Andres Silvera","PIT","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","4.13","6.54","7.05","7.02","","0.0","0.0","sa3016284"
"Jorge Ramirez","WSN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.33","7.37","6.89","7.02","","0.0","0.0","sa3009813"
"Milleran Cedano","LAA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.29","7.36","6.81","7.02","","0.0","0.0","sa3015469"
"Livan Sanchez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.32","7.86","6.86","7.02","","0.0","0.0","sa3004873"
"Vladimir Davila","CIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.06","6.98","7.07","7.02","","0.0","0.0","sa3016585"
"Luilly Ovalle","KCR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.25","7.01","6.99","7.02","","0.0","0.0","sa3005841"
"Patricio Aquino","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.97","4.77","7.13","7.02","7.02","","0.0","0.0","sa3016510"
"Darlin Saladin","STL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","3.76","6.87","7.06","7.03","","0.0","0.0","sa3015949"
"Wilkerman Munoz","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","3.93","6.52","7.08","7.03","","0.0","0.0","sa3016487"
"Rafael Garcia","MIL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","4.32","6.97","7.05","7.03","","0.0","0.0","sa3008702"
"Luis Serna","NYY","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.98","4.87","7.13","6.96","7.03","","0.0","0.0","sa3016528"
"Kristian Cardozo","SEA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","4.07","6.67","7.09","7.03","","0.0","0.0","sa3014706"
"Ferrol Heredia","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.24","7.63","6.89","7.03","","0.0","0.0","sa3002978"
"Adrian Pena","LAA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","4.21","6.59","7.01","7.03","","0.0","0.0","sa3016580"
"Diego Navarro","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.93","4.20","6.42","7.09","7.04","","0.0","0.0","sa3016591"
"Cristian Pacheco","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.24","7.24","7.06","7.04","","0.0","0.0","sa3005887"
"Edinso Aleman","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.03","7.12","6.95","7.04","","0.0","0.0","sa3006558"
"Jesus Gomez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","3.86","7.44","6.92","7.04","","0.0","0.0","sa3006409"
"Javier Fuenmayor","PHI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","3.85","6.80","7.09","7.04","","0.0","0.0","sa3015965"
"Alonzo Richardson","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.15","6.91","7.12","7.05","","0.0","0.0","sa3015333"
"Reimy Beltre","HOU","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.00","5.03","7.79","6.85","7.05","","0.0","0.0","sa3008680"
"Lisandro Marin","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","4.08","6.53","7.10","7.05","","0.0","0.0","sa3009512"
"Ismael Luciano","COL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.13","6.82","7.13","7.05","","0.0","0.0","sa3016227"
"Wilmer Ortega","STL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.96","3.98","6.83","6.94","7.05","","0.0","0.0","sa3009788"
"Juan Gomez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","3.98","6.40","7.08","7.05","","0.0","0.0","sa3002821"
"Frederic Garcia","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","3.89","7.23","7.07","7.05","","0.0","0.0","sa3006575"
"Brayner Sanchez","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","3.98","6.93","7.08","7.05","","0.0","0.0","sa3011366"
"Elkyn Chirinos","CIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","4.22","6.88","7.09","7.06","","0.0","0.0","sa3011775"
"Jeffri Ocando","COL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","3.86","5.48","7.68","7.06","","0.0","0.0","sa923379"
"Luis Joseph","LAD","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","3.98","6.36","7.16","7.06","","0.0","0.0","sa3016602"
"Benjamin Rodriguez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","3.99","6.52","7.12","7.06","","0.0","0.0","sa3004962"
"Jonney Rosario","SDP","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.15","7.17","7.12","7.07","","0.0","0.0","sa3016616"
"Kelvin Moncion","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","4.11","7.61","6.95","7.07","","0.0","0.0","sa3005461"
"Jeffry Reynoso","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","3.99","6.77","7.08","7.07","","0.0","0.0","sa3009744"
"Yostin Villalobos","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","3.75","6.79","7.12","7.07","","0.0","0.0","sa3010793"
"Alexander Johnson","CIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.92","5.59","6.71","7.16","7.07","","0.0","0.0","sa3015278"
"Jose Gonzalez","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.23","7.03","7.12","7.08","","0.0","0.0","sa3015415"
"Ramon Guzman","NYM","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","4.25","6.88","6.95","7.08","","0.0","0.0","sa3003079"
"Gerson Calzadilla","MIL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.20","6.86","7.10","7.08","","0.0","0.0","sa3016621"
"Yordanny Monegro","BOS","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.08","7.24","7.43","7.08","","0.0","0.0","sa3015476"
"Gilberto Sosa","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","3.92","7.18","7.06","7.08","","0.0","0.0","sa3009531"
"Ricardo Estrada","SFG","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.07","7.31","7.00","7.08","","0.0","0.0","sa3016017"
"Victor Rodriguez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","4.49","7.83","6.84","7.09","","0.0","0.0","sa3009780"
"Pedro King","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.20","7.10","7.06","7.09","","0.0","0.0","sa3006158"
"Erasmo Moreno","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.18","7.15","7.10","7.09","","0.0","0.0","sa3009248"
"Luis Crisostomo","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","3.86","6.63","7.14","7.09","","0.0","0.0","sa3009617"
"Wilber Dotel","PIT","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.45","7.57","7.15","7.09","","0.0","0.0","sa3015163"
"Ricardo Leon","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.08","4.61","8.26","6.93","7.09","","0.0","0.0","sa3007601"
"Victor Simeon","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.16","7.06","7.14","7.10","","0.0","0.0","sa3011677"
"Johnny Grullon","SFG","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.05","7.50","6.99","7.10","","0.0","0.0","sa3016600"
"Isaias Uribe","PIT","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","3.93","7.24","7.00","7.10","","0.0","0.0","sa3016486"
"Brayan Salaya","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.00","4.52","7.19","7.13","7.10","","0.0","0.0","sa3003032"
"Kleiber Bordones","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","4.38","6.88","7.12","7.11","","0.0","0.0","sa3006173"
"Endry Manrique","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.08","7.13","7.09","7.11","","0.0","0.0","sa3006393"
"Israiky Berroa","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.95","4.30","6.49","7.12","7.11","","0.0","0.0","sa3006515"
"Fernando Chacon","TOR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.10","7.15","7.09","7.13","","0.0","0.0","sa3009489"
"Deyer Zapata","ARI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.21","7.51","7.03","7.13","","0.0","0.0","sa3016063"
"Dan Hammer","BAL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.94","5.48","7.37","6.93","7.13","","0.0","0.0","sa3011525"
"Leony Rosario","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","3.94","6.77","7.16","7.13","","0.0","0.0","sa3006413"
"Jacob Gilliland","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.11","6.73","7.11","7.13","","0.0","0.0","sa3007994"
"Andy Hernandez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","3.72","6.36","7.17","7.13","","0.0","0.0","sa3006509"
"Hector Acosta","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.97","3.37","6.53","6.92","7.13","","0.0","0.0","sa3003002"
"Jose Ramirez","BOS","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.08","3.79","7.50","7.45","7.14","","0.0","0.0","sa3006702"
"Juanfer Castro","TOR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.14","7.41","7.09","7.14","","0.0","0.0","sa3008712"
"Ezequiel Ventura","PHI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","3.97","6.83","7.18","7.14","","0.0","0.0","sa3011859"
"Nyan Hernandez","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","3.98","6.88","7.19","7.14","","0.0","0.0","sa3009475"
"Tyler Benninghoff","MIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.98","4.50","6.91","7.22","7.14","","0.0","0.0","sa918219"
"Bryam Pena","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.25","7.43","7.44","7.14","","0.0","0.0","sa3006166"
"Jesus A. Rodriguez","DET","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","3.99","7.48","7.04","7.15","","0.0","0.0","sa3016281"
"Joaquin Tejada","PIT","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.48","7.76","7.20","7.15","","0.0","0.0","sa3016207"
"Miguel Segura","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.92","5.07","6.71","7.14","7.15","","0.0","0.0","sa3015426"
"Jared Albir","MIL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","3.91","7.37","7.22","7.15","","0.0","0.0","sa3016263"
"Dheygler Gimenez","OAK","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","4.04","7.08","7.16","7.16","","0.0","0.0","sa3011879"
"Felipe Mezquita","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.19","7.61","7.19","7.16","","0.0","0.0","sa3009241"
"Julio Bonilla","MIN","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.01","7.24","7.19","7.16","","0.0","0.0","sa3011372"
"Redinson Gomez","COL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","3.86","6.68","7.24","7.16","","0.0","0.0","sa3016612"
"Pedro Reyes","PHI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","3.90","6.78","7.22","7.16","","0.0","0.0","sa3015994"
"Alexander Beltre","STL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.07","4.18","7.96","7.03","7.17","","0.0","0.0","sa3015444"
"Darlin Pinales","LAD","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.42","7.80","7.18","7.17","","0.0","0.0","sa3016211"
"Manuel Avila","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","3.74","6.85","7.22","7.17","","0.0","0.0","sa3009611"
"Carlos Sarmiento","OAK","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","3.85","7.39","7.10","7.18","","0.0","0.0","sa3016593"
"Wuilliam Hernandez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.12","6.87","7.25","7.18","","0.0","0.0","sa3009609"
"Angel Brito","KCR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","3.20","7.09","7.34","7.18","","0.0","0.0","sa3009751"
"Elian Pena","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.20","7.24","7.12","7.18","","0.0","0.0","sa3005882"
"Luis Ramos","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","3.80","7.10","7.25","7.18","","0.0","0.0","sa3006161"
"Darlin Alcantara","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.98","4.07","6.94","7.09","7.19","","0.0","0.0","sa3011436"
"Luis Baez","SEA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.47","8.06","6.97","7.19","","0.0","0.0","sa3006137"
"Jean Carlos Reyes","BOS","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.01","6.97","7.24","7.20","","0.0","0.0","sa3016508"
"D.J. McCarty","TEX","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.37","7.46","7.27","7.20","","0.0","0.0","sa3015222"
"Luciano De La Cruz","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","4.07","7.23","7.10","7.20","","0.0","0.0","sa3002618"
"Jose Rojas","SFG","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.01","3.85","7.02","7.27","7.21","","0.0","0.0","sa3015486"
"Jordany Vasquez","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.31","7.56","7.05","7.21","","0.0","0.0","sa3008728"
"Claudio Ochoa","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.11","7.65","7.25","7.21","","0.0","0.0","sa3009210"
"Edgar Isea","ARI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.22","7.59","7.27","7.21","","0.0","0.0","sa3009936"
"Jhon Vergara","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.05","6.99","7.22","7.21","","0.0","0.0","sa3006420"
"Ronaldo Guzman","CHW","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.07","5.17","8.50","7.01","7.21","","0.0","0.0","sa3009621"
"Dannysmel Tavarez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","3.96","7.49","7.21","7.22","","0.0","0.0","sa3003161"
"Ray Castro","","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.92","4.55","6.40","7.09","7.22","","0.0","0.0","sa918014"
"Edwin Rojas","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","3.86","7.23","7.27","7.23","","0.0","0.0","sa3006372"
"Rolando Sirit","DET","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","3.96","7.35","7.27","7.23","","0.0","0.0","sa3010245"
"Gerelmi Maldonado","SFG","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","4.38","7.71","7.27","7.24","","0.0","0.0","sa3016018"
"Yovanny Cabrera","CHC","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.05","4.57","7.76","7.26","7.24","","0.0","0.0","sa3009640"
"Jared Horn","COL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","3.79","6.20","7.93","7.24","","0.0","0.0","sa3011233"
"Wardquelin Vasquez","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","4.38","7.60","7.29","7.25","","0.0","0.0","sa3006502"
"Moises Ruiz","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.00","3.83","6.75","7.32","7.26","","0.0","0.0","sa3005469"
"Jose Andujar","HOU","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.09","4.84","8.27","7.25","7.26","","0.0","0.0","sa3016007"
"Duany Gomez","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","3.92","7.33","7.28","7.26","","0.0","0.0","sa3006142"
"Develson Aria","MIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.07","4.72","8.12","7.18","7.27","","0.0","0.0","sa3008726"
"Andy Garcia","MIL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.44","7.34","7.32","7.27","","0.0","0.0","sa3015404"
"Eliander Alcalde","TOR","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.99","4.39","7.07","7.32","7.28","","0.0","0.0","sa3016519"
"Johan Figuereo","HOU","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.01","7.28","7.34","7.28","","0.0","0.0","sa3016525"
"Nestor Lorant","CIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","1.99","5.03","7.02","7.40","7.29","","0.0","0.0","sa3011640"
"Cristopher Cruz","PIT","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.07","3.82","7.61","7.42","7.30","","0.0","0.0","sa3015301"
"Miguel Padilla","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","4.34","7.52","7.14","7.30","","0.0","0.0","sa3009740"
"Brayan Medina","MIN","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.05","4.61","7.68","7.38","7.32","","0.0","0.0","sa3014705"
"Kenyi Perez","CHC","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.09","4.33","8.04","7.40","7.32","","0.0","0.0","sa3016008"
"Yerlin Rodriguez","MIL","0","0","1.0","0","0","0","0","0","1","1","0","1","1","2.03","4.53","7.46","7.37","7.32","","0.0","0.0","sa3015362"
"Yendy Gomez","LAA","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.02","3.90","7.11","7.32","7.33","","0.0","0.0","sa3016287"
"Pedro Cordero","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.08","3.82","7.74","7.33","7.33","","0.0","0.0","sa3009595"
"Mario Perez","MIL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.13","7.46","7.35","7.33","","0.0","0.0","sa3010131"
"Ronny Oliver","STL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","4.16","7.54","7.40","7.34","","0.0","0.0","sa3016624"
"Gabriel Rodriguez","CHW","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.03","4.15","7.33","7.39","7.34","","0.0","0.0","sa3016784"
"Luis Rodriguez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","1.94","4.23","6.64","7.15","7.36","","0.0","0.0","sa3006397"
"Kenny Pinto","CLE","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.11","3.76","8.04","7.30","7.38","","0.0","0.0","sa3015420"
"Jhonny Jimenez","LAD","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.05","3.58","7.21","7.47","7.39","","0.0","0.0","sa3016506"
"Luis Sanchez","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.09","4.31","8.03","7.41","7.39","","0.0","0.0","sa3015219"
"Harol Arias","BAL","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.04","3.88","7.30","7.35","7.39","","0.0","0.0","sa3015347"
"Dangiover Gonzalez","","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.11","3.72","7.96","7.39","7.39","","0.0","0.0","sa3009728"
"Fernando Ortega","PHI","0","0","1.0","0","0","0","0","0","1","1","0","0","1","2.06","3.81","7.47","7.44","7.41","","0.0","0.0","sa3009459"
