"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Neyfy Castillo","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".249",".317",".566",".251","57","","0.0","0.0","","-0.1","0.0","0.0","sa3005544"
"Aaron Sabato","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".259",".317",".577",".258","65","","0.0","0.0","","0.0","0.0","0.0","sa3014494"
"Christian Molfetta","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".227",".237",".464",".212","32","","0.0","0.0","","-0.1","0.0","0.0","sa3016962"
"Ed Howard","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".232",".269",".500",".223","38","","0.0","0.0","","-0.1","0.0","0.0","sa3014540"
"Luis Valdez","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".248",".264",".512",".230","43","","0.0","0.0","","-0.1","0.0","0.0","sa3016076"
"Jorge Burgos","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".262",".292",".554",".249","58","","0.0","0.0","","0.0","0.0","0.0","sa3008929"
"Aldrich De Jongh","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".247",".302",".549",".245","57","","0.0","0.0","","-0.1","0.0","0.0","sa3007974"
"Sal Gozzo","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".237",".257",".494",".223","38","","0.0","0.0","","-0.1","0.0","0.0","sa3010708"
"Joshua Mears","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".230",".317",".548",".243","57","","0.0","0.0","","-0.1","0.0","0.0","sa3010162"
"Lyle Lin","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".232",".241",".473",".215","32","","0.0","0.0","","-0.1","0.0","0.0","sa918343"
"Branden Fryman","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".220",".252",".472",".211","38","","0.0","0.0","","-0.1","0.0","0.0","sa3010853"
"John Cresto","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".240",".329",".569",".250","44","","0.0","0.0","","-0.1","0.0","0.0","sa3006782"
"Rodolfo Bone","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".210",".253",".463",".207","32","","0.0","0.0","","-0.1","0.0","0.0","sa3006424"
"Ramon Mendoza","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".244",".249",".494",".224","44","","0.0","0.0","","-0.1","0.0","0.0","sa3007513"
"Austin Callahan","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".237",".298",".535",".237","44","","0.0","0.0","","-0.1","0.0","0.0","sa3017407"
"Cole Cummings","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".259",".301",".560",".252","63","","0.0","0.0","","0.0","0.0","0.0","sa3016830"
"Drew Mendoza","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".270",".314",".584",".260","63","","0.0","0.0","","0.0","0.0","0.0","sa3011256"
"Hayden Jones","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".216",".277",".493",".219","31","","0.0","0.0","","-0.1","0.0","0.0","sa3017108"
"Kelvin Alarcon","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".245",".248",".493",".224","44","","0.0","0.0","","-0.1","0.0","0.0","sa917142"
"Niko Goodrum","HOU","2","10","9","2","0","0","0","1","1","1","3","0","0","0","",".199",".278",".324",".602",".270","75","","0.0","0.0","","-0.3","-0.1","0.0","12092"
"Abdiel Layer","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".211",".275",".486",".215","37","","0.0","0.0","","-0.1","0.0","0.0","sa3007291"
"Zach Daniels","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".247",".299",".545",".243","57","","0.0","0.0","","0.0","0.0","0.0","sa3014935"
"Eduardo Garcia","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".221",".282",".502",".222","37","","0.0","0.0","","-0.1","0.0","0.0","sa3008751"
"Willy Vasquez","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".217",".259",".476",".211","37","","0.0","0.0","","-0.1","0.0","0.0","sa3011821"
"Beau Philip","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".239",".251",".490",".223","37","","0.0","0.0","","-0.1","0.0","0.0","sa1169595"
"Jasson Domínguez","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".251",".302",".553",".246","57","","0.0","0.0","","0.0","0.0","0.0","sa3014696"
"Kevin Alcantara","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".247",".320",".567",".249","56","","0.0","0.0","","-0.1","0.0","0.0","sa3008752"
"Jan Mercado","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".160",".213",".239",".452",".205","31","","0.0","0.0","","-0.1","0.0","0.0","sa3005152"
"Alexeis Azuaje","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".218",".284",".502",".221","37","","0.0","0.0","","-0.1","0.0","0.0","sa3009286"
"Noah Miller","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".244",".231",".475",".219","37","","0.0","0.0","","-0.1","0.0","0.0","sa3017512"
"DJ Gladney","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".215",".300",".515",".227","44","","0.0","0.0","","-0.1","0.0","0.0","sa3010043"
"Daniel Mateo","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".241",".314",".555",".244","56","","0.0","0.0","","0.0","0.0","0.0","sa3010886"
"Miguel Sosa","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".224",".231",".455",".209","31","","0.0","0.0","","-0.1","0.0","0.0","sa3016325"
"Jeremy Rivas","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".233",".241",".474",".213","37","","0.0","0.0","","-0.1","0.0","0.0","sa3015193"
"Braiden Ward","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".274",".322",".595",".265","54","","0.0","0.0","","-0.1","0.0","0.0","sa3017332"
"Ryan Anderson","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".247",".303",".550",".245","56","","0.0","0.0","","0.0","0.0","0.0","sa3006933"
"Albert Fabian","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".238",".307",".545",".241","56","","0.0","0.0","","-0.1","0.0","0.0","sa3008888"
"Matt Rudick","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".252",".270",".522",".237","55","","0.0","0.0","","-0.1","0.0","0.0","sa3017334"
"Alex Hall","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".167",".220",".250",".470",".212","31","","0.0","0.0","","-0.1","0.0","0.0","sa3007023"
"Moises Valero","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".205",".267",".472",".209","30","","0.0","0.0","","-0.1","0.0","0.0","sa3016128"
"Cody Grosse","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".243",".238",".481",".221","43","","0.0","0.0","","-0.1","0.0","0.0","sa3010052"
"Pedro Ramirez","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".232",".263",".496",".221","37","","0.0","0.0","","-0.1","0.0","0.0","sa3015834"
"Jose Colina","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".144",".210",".226",".437",".200","30","","0.0","0.0","","-0.1","0.0","0.0","sa872875"
"Oswaldo Linares","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".145",".220",".221",".441",".204","30","","0.0","0.0","","-0.1","0.0","0.0","sa3015593"
"Adrian Placencia","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".232",".250",".482",".219","37","","0.0","0.0","","-0.1","0.0","0.0","sa3014688"
"T.J. Schofield-Sam","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".229",".268",".497",".222","43","","0.0","0.0","","-0.1","0.0","0.0","sa3011501"
"Saul Torres","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".158",".214",".246",".460",".208","30","","0.0","0.0","","-0.1","0.0","0.0","sa923363"
"Victor Acosta","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".224",".254",".478",".213","36","","0.0","0.0","","-0.1","0.0","0.0","sa3015705"
"Brandon Parker","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".251",".308",".559",".250","55","","0.0","0.0","","-0.1","0.0","0.0","sa1169878"
"Jack Herman","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".244",".311",".556",".245","55","","0.0","0.0","","-0.1","0.0","0.0","sa3007877"
"Micah Yonamine","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".227",".236",".463",".211","30","","0.0","0.0","","-0.1","0.0","0.0","sa3010905"
"Ian Lewis","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".238",".256",".494",".221","42","","0.0","0.0","","-0.1","0.0","0.0","sa3014691"
"Isaac De Leon","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".240",".239",".479",".221","37","","0.0","0.0","","-0.1","0.0","0.0","sa3008784"
"Enrique Valdez","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".226",".270",".495",".220","36","","0.0","0.0","","-0.1","0.0","0.0","sa3005568"
"Anthony Quirion","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".157",".210",".260",".470",".211","30","","0.0","0.0","","-0.1","0.0","0.0","sa3017477"
"Cristian Gonzalez","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".219",".261",".480",".214","36","","0.0","0.0","","-0.1","0.0","0.0","sa3008771"
"Raudelis Martinez","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".154",".210",".233",".443",".200","30","","0.0","0.0","","-0.1","0.0","0.0","sa3016835"
"Sander Mora","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".232",".230",".462",".212","36","","0.0","0.0","","-0.1","0.0","0.0","sa3006578"
"Ethan Murray","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".231",".257",".488",".220","36","","0.0","0.0","","-0.1","0.0","0.0","sa3017051"
"Moises Ballesteros","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".221",".243",".464",".210","30","","0.0","0.0","","-0.1","0.0","0.0","sa3015713"
"Marcus Chiu","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".249",".309",".558",".249","61","","0.0","0.0","","0.0","0.0","0.0","sa3004060"
"Angel Rivera","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".155",".212",".232",".445",".203","30","","0.0","0.0","","-0.1","0.0","0.0","sa3018922"
"Victor Duarte","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".213",".238",".451",".203","30","","0.0","0.0","","-0.1","0.0","0.0","sa3008904"
"Nate Soria","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".210",".235",".444",".200","30","","0.0","0.0","","-0.1","0.0","0.0","sa3007333"
"Rubel Cespedes","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".233",".278",".511",".227","43","","0.0","0.0","","-0.1","0.0","0.0","sa3008953"
"Dariel Gomez","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".242",".317",".558",".247","62","","0.0","0.0","","0.0","0.0","0.0","sa872729"
"Duke Ellis","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".253",".283",".537",".242","54","","0.0","0.0","","-0.1","0.0","0.0","sa3014816"
"TT Bowens","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".258",".318",".576",".257","62","","0.0","0.0","","0.0","0.0","0.0","sa3015107"
"Osmy Gregorio","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".230",".255",".485",".217","36","","0.0","0.0","","-0.1","0.0","0.0","sa917348"
"Ian Moller","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".150",".223",".223",".446",".206","29","","0.0","0.0","","-0.1","0.0","0.0","sa3017171"
"Jakob Goldfarb","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".159",".226",".236",".462",".211","30","","0.0","0.0","","-0.1","0.0","0.0","sa1159694"
"Jadiel Sanchez","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".238",".325",".563",".247","54","","0.0","0.0","","-0.1","0.0","0.0","sa3011629"
"Jaylen Palmer","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".157",".232",".241",".473",".217","42","","0.0","0.0","","-0.1","0.0","0.0","sa3008297"
"Lazaro Leal","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".250",".295",".545",".243","55","","0.0","0.0","","-0.1","0.0","0.0","sa3008940"
"Leosdany Molina","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".225",".250",".475",".213","35","","0.0","0.0","","-0.1","0.0","0.0","sa3015874"
"Braulio Vasquez","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".243",".262",".506",".229","41","","0.0","0.0","","-0.1","0.0","0.0","sa924858"
"Aiverson Rodriguez","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".247",".283",".530",".237","36","","0.0","0.0","","-0.1","0.0","0.0","sa3008824"
"Jose Cedeno","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".160",".228",".221",".450",".208","29","","0.0","0.0","","-0.1","0.0","0.0","sa3018471"
"Rayner Santana","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".151",".202",".252",".454",".203","29","","0.0","0.0","","-0.1","0.0","0.0","sa3008897"
"Joe Naranjo","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".268",".295",".563",".254","62","","0.0","0.0","","0.0","0.0","0.0","sa3010025"
"Juan Querecuto","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".221",".244",".465",".210","36","","0.0","0.0","","-0.1","0.0","0.0","sa3005721"
"Anthony Garcia","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".152",".249",".285",".534",".243","55","","0.0","0.0","","-0.1","0.0","0.0","sa3005924"
"Brayan Buelvas","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".234",".304",".538",".238","55","","0.0","0.0","","-0.1","0.0","0.0","sa3008868"
"Austin Beck","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".232",".310",".542",".238","55","","0.0","0.0","","-0.1","0.0","0.0","sa3004055"
"Paul Witt","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".229",".261",".490",".219","35","","0.0","0.0","","-0.1","0.0","0.0","sa3014949"
"Jose King","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".222",".265",".487",".216","35","","0.0","0.0","","-0.1","0.0","0.0","sa917184"
"Drew Campbell","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".255",".306",".560",".248","54","","0.0","0.0","","-0.1","0.0","0.0","sa3011264"
"Jonny Butler","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".248",".285",".533",".238","55","","0.0","0.0","","-0.1","0.0","0.0","sa3017292"
"Ricardo Méndez","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".252",".304",".556",".246","54","","0.0","0.0","","-0.1","0.0","0.0","sa3004383"
"Aldenis Sanchez","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".264",".271",".535",".241","54","","0.0","0.0","","-0.1","0.0","0.0","sa3003222"
"Bryson Horne","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".255",".332",".587",".257","60","","0.0","0.0","","0.0","0.0","0.0","sa3014891"
"Niko Vasquez","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".232",".269",".501",".225","36","","0.0","0.0","","-0.1","0.0","0.0","sa454460"
"Logan Cerny","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".233",".305",".538",".239","54","","0.0","0.0","","-0.1","0.0","0.0","sa3017661"
"Jacob Teter","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".255",".322",".576",".255","61","","0.0","0.0","","0.0","0.0","0.0","sa3017016"
"Joe Gray Jr.","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".241",".310",".551",".245","53","","0.0","0.0","","-0.1","0.0","0.0","sa3008005"
"Warren Saunders","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".226",".256",".482",".216","41","","0.0","0.0","","-0.1","0.0","0.0","sa3011405"
"Deivis Nadal","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".228",".249",".476",".214","34","","0.0","0.0","","-0.1","0.0","0.0","sa3008879"
"Danny Oriente","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".267",".278",".546",".247","53","","0.0","0.0","","-0.1","0.0","0.0","sa3014943"
"Darryl Collins","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".269",".272",".541",".246","54","","0.0","0.0","","-0.1","0.0","0.0","sa3010154"
"Abimelec Ortiz","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".239",".330",".569",".251","61","","0.0","0.0","","0.0","0.0","0.0","sa3016926"
"Dylan Neuse","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".254",".282",".537",".243","54","","0.0","0.0","","-0.1","0.0","0.0","sa3018123"
"Jose Estrada","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".167",".213",".230",".443",".200","28","","0.0","0.0","","-0.1","0.0","0.0","sa3008933"
"Kwan Adkins","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".243",".290",".533",".238","53","","0.0","0.0","","-0.1","0.0","0.0","sa3007000"
"Terrell Tatum","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".254",".274",".529",".241","53","","0.0","0.0","","-0.1","0.0","0.0","sa3017338"
"Angel Basabe","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".245",".299",".544",".242","53","","0.0","0.0","","-0.1","0.0","0.0","sa3006432"
"Ethan Hearn","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".150",".209",".252",".461",".208","28","","0.0","0.0","","-0.1","0.0","0.0","sa3011502"
"Michael Arroyo","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".217",".242",".459",".208","34","","0.0","0.0","","-0.1","0.0","0.0","sa3018429"
"Edinson Duran","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".156",".194",".268",".462",".204","28","","0.0","0.0","","-0.1","0.0","0.0","sa3016561"
"Julio Carrion","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".223",".266",".489",".220","40","","0.0","0.0","","-0.1","0.0","0.0","sa3010015"
"Connor Kokx","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".256",".281",".537",".242","54","","0.0","0.0","","-0.1","0.0","0.0","sa3017735"
"Omar Martinez","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".146",".206",".245",".451",".204","28","","0.0","0.0","","-0.1","0.0","0.0","sa3008573"
"Malcom Quintero","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".223",".232",".455",".207","28","","0.0","0.0","","-0.1","0.0","0.0","sa3007827"
"Marco Vargas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".228",".229",".457",".208","34","","0.0","0.0","","-0.1","0.0","0.0","sa3018632"
"Manuel Palencia","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".224",".223",".447",".204","27","","0.0","0.0","","-0.1","0.0","0.0","sa3015659"
"Jordy Barley","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".223",".259",".481",".215","32","","0.0","0.0","","-0.1","0.0","0.0","sa3004148"
"Wyatt Hendrie","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".163",".212",".240",".453",".204","27","","0.0","0.0","","-0.1","0.0","0.0","sa3017163"
"Carlos Ramos","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".237",".211",".448",".207","27","","0.0","0.0","","-0.1","0.0","0.0","sa3016185"
"Daury Arias","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".233",".309",".542",".240","53","","0.0","0.0","","-0.1","0.0","0.0","sa3015685"
"Rodolfo Nolasco","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".238",".305",".542",".241","52","","0.0","0.0","","-0.1","0.0","0.0","sa3008907"
"Edwin Mateo","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".249",".280",".529",".238","52","","0.0","0.0","","-0.1","0.0","0.0","sa3003364"
"Hudson Head","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".247",".287",".534",".241","52","","0.0","0.0","","-0.1","0.0","0.0","sa3010889"
"Yiddi Cappe","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".219",".246",".465",".208","33","","0.0","0.0","","-0.1","0.0","0.0","sa3015515"
"Mike Peabody","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".245",".295",".540",".242","53","","0.0","0.0","","-0.1","0.0","0.0","sa3017327"
"Esney Chacon","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".257",".280",".537",".241","53","","0.0","0.0","","-0.1","0.0","0.0","sa3003267"
"Viandel Pena","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".238",".261",".499",".225","39","","0.0","0.0","","-0.1","0.0","0.0","sa3005775"
"Denzel Clarke","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".236",".289",".525",".235","52","","0.0","0.0","","-0.1","0.0","0.0","sa3017426"
"Thomas Francisco","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".251",".301",".552",".245","58","","0.0","0.0","","0.0","0.0","0.0","sa3016999"
"Keegan Fish","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".153",".218",".223",".442",".203","27","","0.0","0.0","","-0.1","0.0","0.0","sa3007068"
"Carlos De La Cruz","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".236",".316",".552",".243","52","","0.0","0.0","","-0.1","0.0","0.0","sa3006903"
"Angeudis Santos","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".229",".222",".451",".207","33","","0.0","0.0","","-0.1","0.0","0.0","sa3009794"
"Anthony Morales","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".176",".221",".245",".465",".209","27","","0.0","0.0","","-0.1","0.0","0.0","sa1172775"
"Juan Corniel","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".229",".256",".485",".217","33","","0.0","0.0","","-0.1","0.0","0.0","sa3015169"
"Raul Beracierta","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".230",".293",".524",".232","52","","0.0","0.0","","-0.1","0.0","0.0","sa917116"
"Bryan Arias","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".261",".309",".570",".255","65","","0.0","0.0","","0.0","0.0","0.0","sa3011265"
"Felix Stevens","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".232",".319",".551",".243","52","","0.0","0.0","","-0.1","0.0","0.0","sa3008946"
"Tyler Malone","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".254",".260",".514",".236","52","","0.0","0.0","","-0.1","0.0","0.0","sa3010398"
"Beycker Barroso","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".219",".226",".445",".202","27","","0.0","0.0","","-0.1","0.0","0.0","sa3015672"
"Jose Ramos","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".215",".249",".464",".208","32","","0.0","0.0","","-0.1","0.0","0.0","sa3016541"
"Efrenyer Narvaez","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".210",".239",".449",".202","26","","0.0","0.0","","-0.1","0.0","0.0","sa3008885"
"Donta' Williams","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".263",".266",".530",".242","52","","0.0","0.0","","-0.1","0.0","0.0","sa3017152"
"Geovanny Planchart","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".161",".221",".221",".442",".203","27","","0.0","0.0","","-0.1","0.0","0.0","sa3009334"
"Bryan Torres","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".225",".230",".455",".207","33","","0.0","0.0","","-0.1","0.0","0.0","sa3002858"
"Dayan Frias","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".233",".231",".464",".213","33","","0.0","0.0","","-0.1","0.0","0.0","sa3008768"
"Terrance Gore","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".267",".257",".524",".242","58","","0.0","0.0","","0.0","0.0","0.0","13658"
"Chris Meyers","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".251",".316",".567",".250","59","","0.0","0.0","","0.0","0.0","0.0","sa3016956"
"Victor Diaz","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".161",".202",".244",".447",".199","26","","0.0","0.0","","-0.1","0.0","0.0","sa3008801"
"Keoni Cavaco","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".212",".270",".481",".212","33","","0.0","0.0","","-0.1","0.0","0.0","sa3010706"
"Edison Mora","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".224",".236",".460",".208","33","","0.0","0.0","","-0.1","0.0","0.0","sa3007315"
"Nicolas Torres","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".238",".261",".499",".224","38","","0.0","0.0","","-0.1","0.0","0.0","sa3002711"
"Liam Sabino","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".229",".244",".472",".214","39","","0.0","0.0","","-0.1","0.0","0.0","sa3007821"
"Je'Von Ward","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".248",".295",".544",".242","51","","0.0","0.0","","-0.1","0.0","0.0","sa3004969"
"Brandon Bossard","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".239",".239",".478",".220","39","","0.0","0.0","","-0.1","0.0","0.0","sa3015050"
"Micah Bello","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".239",".309",".547",".242","51","","0.0","0.0","","-0.1","0.0","0.0","sa3006883"
"Chase Murray","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".238",".302",".540",".239","51","","0.0","0.0","","-0.1","0.0","0.0","sa1115500"
"Sammy Siani","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".251",".271",".522",".238","51","","0.0","0.0","","-0.1","0.0","0.0","sa3010704"
